ABS,SA2,homeless number
,Alfredton,64
,Ballarat,57
,Buninyong,43
,Delacombe,43
,Smythes Creek,5
,Wendouree - Miners Rest,93
,Ballarat East - Warrenheip,148
,Ballarat North - Invermay,46
,Canadian - Mount Clear,59
,Sebastopol - Redan,77
,Bacchus Marsh Surrounds,3
,Creswick - Clunes,15
,Daylesford,27
,Gordon (Vic.),10
,Avoca,15
,Beaufort,6
,Golden Plains - North,9
,Maryborough (Vic.),19
,Maryborough Surrounds,6
,Bendigo,105
,California Gully - Eaglehawk,111
,East Bendigo - Kennington,76
,Flora Hill - Spring Gully,91
,Kangaroo Flat - Golden Square,126
,Maiden Gully,0
,Strathfieldsaye,9
,White Hills - Ascot,32
,Bendigo Surrounds - South,4
,Castlemaine,31
,Castlemaine Surrounds,12
,Heathcote,0
,Kyneton,50
,Woodend,16
,Bendigo Surrounds - North,12
,Loddon,22
,Bannockburn,13
,Golden Plains - South,6
,Winchelsea,11
,Belmont,116
,Geelong,76
,Geelong West - Hamlyn Heights,90
,Highton,359
,Lara,17
,Leopold,0
,Newcomb - Moolap,75
,Newtown (Vic.),44
,North Geelong - Bell Park,64
,Charlemont,9
,Corio - Lovely Banks,163
,Grovedale - Mount Duneed,440
,Norlane,50
,Clifton Springs,7
,Lorne - Anglesea,13
,Portarlington,9
,Point Lonsdale - Queenscliff,0
,Torquay,26
,Barwon Heads - Armstrong Creek,5
,Ocean Grove,8
,Alexandra,26
,Euroa,26
,Kilmore - Broadford,33
,Mansfield (Vic.),32
,Nagambie,5
,Seymour,68
,Seymour Surrounds,3
,Upper Yarra Valley,0
,Yea,0
,Benalla,20
,Benalla Surrounds,0
,Rutherglen,5
,Wangaratta,92
,Wangaratta Surrounds,30
,Beechworth,0
,Bright - Mount Beauty,27
,Chiltern - Indigo Valley,6
,Myrtleford,6
,Towong,5
,West Wodonga,96
,Yackandandah,8
,Baranduda - Leneva,9
,Wodonga,108
,Drouin,48
,Mount Baw Baw Region,5
,Trafalgar (Vic.),30
,Warragul,58
,Alps - East,0
,Bairnsdale,109
,Bruthen - Omeo,29
,Lake King,0
,Lakes Entrance,48
,Orbost,26
,Paynesville,10
,Foster,9
,French Island,0
,Korumburra,29
,Leongatha,13
,Phillip Island,19
,Wilsons Promontory,0
,Wonthaggi - Inverloch,52
,Churchill,46
,Moe - Newborough,63
,Morwell,201
,Yallourn North - Glengarry,7
,Traralgon - East,49
,Traralgon - West,30
,Alps - West,0
,Longford - Loch Sport,8
,Maffra,36
,Rosedale,3
,Sale,69
,Yarram,10
,Brunswick East,41
,Brunswick West,63
,Pascoe Vale South,20
,Brunswick - North,86
,Brunswick - South,88
,Coburg - East,65
,Coburg - West,54
,Alphington - Fairfield,30
,Thornbury,98
,Northcote - East,52
,Northcote - West,37
,Ascot Vale,67
,Flemington,56
,Moonee Ponds,72
,Essendon (West) - Aberfeldie,54
,Essendon - East,42
,Carlton,110
,Docklands,18
,East Melbourne,52
,Flemington Racecourse,0
,Kensington (Vic.),49
,Parkville,84
,South Yarra - West,4
,West Melbourne - Industrial,0
,Melbourne CBD - East,141
,Melbourne CBD - North,116
,Melbourne CBD - West,201
,North Melbourne,253
,Royal Botanic Gardens Victoria,8
,Southbank (West) - South Wharf,36
,Southbank - East,30
,West Melbourne - Residential,62
,Albert Park,34
,Elwood,66
,Port Melbourne,44
,St Kilda East,244
,Port Melbourne Industrial,10
,South Melbourne,123
,St Kilda - Central,212
,St Kilda - West,332
,Armadale,27
,Prahran - Windsor,121
,Toorak,3
,South Yarra - North,20
,South Yarra - South,40
,Abbotsford,114
,Carlton North - Princes Hill,0
,Collingwood,28
,Fitzroy,159
,Fitzroy North,73
,Clifton Hill - Alphington,7
,Richmond (South) - Cremorne,103
,Richmond - North,80
,Ashburton (Vic.),34
,Balwyn,3
,Balwyn North,3
,Camberwell,19
,Glen Iris - East,14
,Hawthorn East,29
,Kew East,5
,Surrey Hills (West) - Canterbury,4
,Hawthorn - North,67
,Hawthorn - South,35
,Kew - South,46
,Kew - West,62
,Bulleen,5
,Doncaster,107
,Templestowe,16
,Templestowe Lower,8
,Doncaster East - North,16
,Doncaster East - South,17
,Blackburn,51
,Blackburn South,46
,Box Hill,208
,Box Hill North,69
,Burwood (Vic.),517
,Burwood East,80
,Surrey Hills (East) - Mont Albert,37
,Beaumaris,18
,Brighton (Vic.),17
,Brighton East,11
,Highett (West) - Cheltenham,23
,Hampton,64
,Sandringham - Black Rock,12
,Bentleigh - McKinnon,43
,Carnegie,90
,Caulfield - North,101
,Caulfield - South,85
,Elsternwick,29
,Hughesdale,56
,Murrumbeena,36
,Ormond - Glen Huntly,103
,Bentleigh East - North,30
,Bentleigh East - South,48
,Aspendale Gardens - Waterways,3
,Braeside,3
,Carrum - Patterson Lakes,31
,Chelsea - Bonbeach,41
,Chelsea Heights,12
,Highett (East) - Cheltenham,66
,Edithvale - Aspendale,28
,Mentone,23
,Moorabbin - Heatherton,73
,Moorabbin Airport,0
,Mordialloc - Parkdale,64
,Malvern - Glen Iris,42
,Malvern East,205
,Bundoora - East,57
,Greensborough,41
,Heidelberg - Rosanna,49
,Heidelberg West,208
,Ivanhoe,16
,Ivanhoe East - Eaglemont,32
,Montmorency - Briar Hill,38
,Viewbank - Yallambie,39
,Watsonia,61
,Kingsbury,120
,Preston - East,195
,Preston - West,78
,Reservoir - North East,111
,Reservoir - North West,50
,Reservoir - South East,106
,Reservoir - South West,149
,Eltham,36
,Hurstbridge,0
,Kinglake,13
,Panton Hill - St Andrews,0
,Plenty - Yarrambat,14
,Research - North Warrandyte,0
,Wattle Glen - Diamond Creek,29
,Bundoora - North,33
,Bundoora - West,63
,Mill Park - North,69
,Mill Park - South,59
,Thomastown,171
,Wallan,16
,Whittlesea,21
,Epping - East,32
,Epping - South,78
,Epping (Vic.) - West,17
,South Morang - North,6
,South Morang - South,32
,Wollert,50
,Doreen - North,25
,Doreen - South,12
,Lalor - East,98
,Lalor - West,56
,Mernda - North,19
,Mernda - South,14
,Airport West,4
,Essendon Airport,0
,Keilor,26
,Niddrie - Essendon West,5
,Strathmore,3
,Avondale Heights,17
,Keilor East,0
,Gisborne,8
,Macedon,0
,Riddells Creek,4
,Romsey,7
,Coburg North,25
,Fawkner,69
,Gowanbrae,3
,Hadfield,31
,Glenroy - East,62
,Glenroy - West,67
,Oak Park,18
,Pascoe Vale,15
,Sunbury,16
,Diggers Rest,0
,Sunbury - South,37
,Sunbury - West,12
,Broadmeadows,206
,Campbellfield - Coolaroo,199
,Gladstone Park - Westmeadows,67
,Greenvale - Bulla,47
,Meadow Heights,152
,Melbourne Airport,0
,Tullamarine,23
,Craigieburn - Central,34
,Craigieburn - North,34
,Craigieburn - South,59
,Mickleham - Yuroke,66
,Craigieburn - North West,14
,Craigieburn - West,22
,Roxburgh Park (South) - Somerton,63
,Roxburgh Park - North,97
,Bayswater,13
,Knoxfield - Scoresby,32
,Lysterfield,4
,Rowville - Central,8
,Rowville - North,8
,Rowville - South,12
,Wantirna,46
,Wantirna South,90
,Boronia,117
,Ferntree Gully - North,49
,Ferntree Gully (South) - Upper Ferntree Gully,43
,The Basin,9
,Donvale - Park Orchards,11
,Warrandyte - Wonga Park,4
,Bayswater North,40
,Croydon Hills - Warranwood,17
,Ringwood,122
,Ringwood East,83
,Ringwood North,0
,Croydon - East,166
,Croydon - West,25
,Croydon South,21
,Forest Hill,39
,Mitcham (Vic.),88
,Nunawading,51
,Vermont,33
,Vermont South,17
,Belgrave - Selby,0
,Chirnside Park,5
,Healesville - Yarra Glen,48
,Kilsyth,14
,Lilydale - Coldstream,106
,Monbulk - Silvan,0
,Montrose,17
,Mooroolbark,118
,Mount Dandenong - Olinda,4
,Mount Evelyn,31
,Upwey - Tecoma,16
,Wandin - Seville,12
,Yarra Valley,46
,Emerald - Cockatoo,27
,Beaconsfield - Officer,16
,Bunyip - Garfield,29
,Koo Wee Rup,21
,Pakenham - North East,86
,Pakenham - North West,12
,Pakenham - South East,29
,Pakenham - South West,116
,Berwick - North,140
,Doveton,173
,Hallam,121
,Narre Warren North,45
,Endeavour Hills - North,66
,Endeavour Hills - South,24
,Narre Warren - North East,35
,Narre Warren - South West,158
,Berwick - South East,42
,Berwick - South West,23
,Cranbourne,288
,Cranbourne South,19
,Cranbourne West,99
,Lynbrook - Lyndhurst,59
,Pearcedale - Tooradin,11
,Narre Warren South - East,78
,Narre Warren South - West,95
,Clyde North - North,0
,Clyde North - South,54
,Cranbourne East - North,76
,Cranbourne East - South,48
,Cranbourne North - East,31
,Cranbourne North - West,41
,Hampton Park - East,65
,Hampton Park - West,73
,Clarinda - Oakleigh South,51
,Clayton South,138
,Dandenong North,269
,Dingley Village,16
,Noble Park North,39
,Springvale,302
,Springvale South,137
,Noble Park - East,227
,Noble Park - West,342
,Dandenong - North,746
,Dandenong - South,142
,Keysborough - North,142
,Keysborough - South,34
,Ashwood - Chadstone,147
,Glen Waverley - East,66
,Glen Waverley - West,102
,Mount Waverley - North,67
,Mount Waverley - South,68
,Mulgrave,93
,Oakleigh - Huntingdale,157
,Wheelers Hill,35
,Clayton (North) - Notting Hill,650
,Clayton - Central,246
,Ardeer - Albion,110
,Cairnlea,58
,Delahey,32
,Keilor Downs,40
,Kings Park (Vic.),127
,St Albans - North,200
,St Albans - South,199
,Sunshine,141
,Sunshine North,89
,Sunshine West,200
,Sydenham,14
,Taylors Lakes,62
,Deer Park,174
,Derrimut,54
,Altona,37
,Altona Meadows,52
,Altona North,71
,Newport,46
,Seabrook,10
,Williamstown,13
,Braybrook,182
,Footscray,278
,Maribyrnong,51
,Seddon - Kingsville,39
,West Footscray - Tottenham,218
,Yarraville,55
,Bacchus Marsh,80
,Melton West,131
,Rockbank - Mount Cottrell,17
,Taylors Hill,82
,Burnside,4
,Burnside Heights,6
,Caroline Springs,51
,Brookfield,45
,Cobblebank - Strathtulloh,5
,Eynesbury - Exford,13
,Fraser Rise - Plumpton,0
,Hillside,11
,Kurunjang - Toolern Vale,36
,Melton,33
,Melton South - Weir Views,126
,Hoppers Crossing - North,105
,Hoppers Crossing - South,123
,Laverton,69
,Werribee - South,71
,Point Cook - East,45
,Point Cook - South,31
,Werribee - East,73
,Werribee - West,76
,Manor Lakes - Quandong,12
,Point Cook - North East,7
,Point Cook - North West,13
,Tarneit (West) - Mount Cottrell,34
,Tarneit - Central,140
,Tarneit - North,15
,Tarneit - South,29
,Truganina - North,14
,Truganina - South East,0
,Truganina - South West,116
,Wyndham Vale - North,22
,Wyndham Vale - South,79
,Carrum Downs,39
,Frankston,391
,Frankston North,221
,Frankston South,38
,Langwarrin,49
,Seaford (Vic.),41
,Skye - Sandhurst,8
,Dromana,10
,Flinders,13
,Hastings - Somers,80
,Mount Eliza,14
,Mount Martha,52
,Point Nepean,57
,Rosebud - McCrae,113
,Somerville,34
,Mornington - East,41
,Mornington - West,17
,Ararat,38
,Ararat Surrounds,7
,Horsham,78
,Horsham Surrounds,13
,Nhill Region,32
,St Arnaud,0
,Stawell,33
,West Wimmera,0
,Yarriambiack,18
,Irymple,22
,Merbein,12
,Mildura Surrounds,0
,Red Cliffs,20
,Mildura - North,203
,Mildura - South,87
,Buloke,4
,Gannawarra,10
,Kerang,10
,Robinvale,114
,Swan Hill,59
,Swan Hill Surrounds,59
,Echuca,72
,Kyabram,16
,Lockington - Gunbower,0
,Rochester,4
,Rushworth,19
,Cobram,37
,Moira,0
,Numurkah,21
,Yarrawonga,12
,Mooroopna,43
,Shepparton - North,146
,Shepparton Surrounds - East,4
,Shepparton Surrounds - West,20
,Kialla,25
,Shepparton - South East,174
,Glenelg (Vic.),20
,Hamilton (Vic.),31
,Portland,74
,Southern Grampians,13
,Camperdown,13
,Colac,62
,Colac Surrounds,0
,Corangamite - North,11
,Corangamite - South,5
,Otway,27
,Moyne - East,25
,Moyne - West,6
,Warrnambool - North,95
,Warrnambool - South,92
